Date,BLK,^GSPC
2010-01-04 00:00:00+00:00,162.37974548339844,1132.989990234375
2010-01-05 00:00:00+00:00,163.08074951171875,1136.52001953125
2010-01-06 00:00:00+00:00,159.718505859375,1137.1400146484375
2010-01-07 00:00:00+00:00,161.4745330810547,1141.68994140625
2010-01-08 00:00:00+00:00,162.61111450195312,1144.97998046875
2010-01-11 00:00:00+00:00,165.25869750976562,1146.97998046875
2010-01-12 00:00:00+00:00,162.3048858642578,1136.219970703125
2010-01-13 00:00:00+00:00,162.95147705078125,1145.6800537109375
2010-01-14 00:00:00+00:00,161.91688537597656,1148.4599609375
2010-01-15 00:00:00+00:00,162.04624938964844,1136.030029296875
2010-01-19 00:00:00+00:00,163.35301208496094,1150.22998046875
2010-01-20 00:00:00+00:00,162.1619415283203,1138.0400390625
2010-01-21 00:00:00+00:00,156.70347595214844,1116.47998046875
2010-01-22 00:00:00+00:00,153.1370086669922,1091.760009765625
2010-01-25 00:00:00+00:00,154.13067626953125,1096.780029296875
2010-01-26 00:00:00+00:00,152.939697265625,1092.1700439453125
2010-01-27 00:00:00+00:00,154.3417205810547,1097.5
2010-01-28 00:00:00+00:00,149.48895263671875,1084.530029296875
2010-01-29 00:00:00+00:00,145.52783203125,1073.8699951171875
2010-02-01 00:00:00+00:00,147.39952087402344,1089.18994140625
2010-02-02 00:00:00+00:00,147.01161193847656,1103.3199462890625
2010-02-03 00:00:00+00:00,150.16961669921875,1097.280029296875
2010-02-04 00:00:00+00:00,143.77870178222656,1063.1099853515625
2010-02-05 00:00:00+00:00,142.10435485839844,1066.18994140625
2010-02-08 00:00:00+00:00,139.29345703125,1056.739990234375
2010-02-09 00:00:00+00:00,142.16567993164062,1070.52001953125
2010-02-10 00:00:00+00:00,143.69703674316406,1068.1300048828125
2010-02-11 00:00:00+00:00,141.0902862548828,1078.469970703125
2010-02-12 00:00:00+00:00,140.9949951171875,1075.510009765625
2010-02-16 00:00:00+00:00,143.20697021484375,1094.8699951171875
2010-02-17 00:00:00+00:00,145.03099060058594,1099.510009765625
2010-02-18 00:00:00+00:00,145.466552734375,1106.75
2010-02-19 00:00:00+00:00,146.67808532714844,1109.1700439453125
2010-02-22 00:00:00+00:00,147.84873962402344,1108.010009765625
2010-02-23 00:00:00+00:00,146.24249267578125,1094.5999755859375
2010-02-24 00:00:00+00:00,148.61778259277344,1105.239990234375
2010-02-25 00:00:00+00:00,148.57699584960938,1102.93994140625
2010-02-26 00:00:00+00:00,148.91732788085938,1104.489990234375
2010-03-01 00:00:00+00:00,148.37278747558594,1115.7099609375
2010-03-02 00:00:00+00:00,147.29063415527344,1118.31005859375
2010-03-03 00:00:00+00:00,147.06602478027344,1118.7900390625
2010-03-04 00:00:00+00:00,147.58570861816406,1122.969970703125
2010-03-05 00:00:00+00:00,150.31396484375,1138.699951171875
2010-03-08 00:00:00+00:00,149.1446990966797,1138.5
2010-03-09 00:00:00+00:00,148.35836791992188,1140.449951171875
2010-03-10 00:00:00+00:00,147.48997497558594,1145.6099853515625
2010-03-11 00:00:00+00:00,143.87278747558594,1150.239990234375
2010-03-12 00:00:00+00:00,143.59242248535156,1149.989990234375
2010-03-15 00:00:00+00:00,145.0762481689453,1150.510009765625
2010-03-16 00:00:00+00:00,145.1993865966797,1159.4599609375
2010-03-17 00:00:00+00:00,152.34475708007812,1166.2099609375
2010-03-18 00:00:00+00:00,154.30032348632812,1165.8299560546875
2010-03-19 00:00:00+00:00,153.4046173095703,1159.9000244140625
2010-03-22 00:00:00+00:00,154.32769775390625,1165.81005859375
2010-03-23 00:00:00+00:00,155.2165985107422,1174.1700439453125
2010-03-24 00:00:00+00:00,153.8490753173828,1167.719970703125
2010-03-25 00:00:00+00:00,154.1294708251953,1165.72998046875
2010-03-26 00:00:00+00:00,149.93104553222656,1166.5899658203125
2010-03-29 00:00:00+00:00,150.46434020996094,1173.219970703125
2010-03-30 00:00:00+00:00,149.83535766601562,1173.27001953125
2010-03-31 00:00:00+00:00,148.89854431152344,1169.4300537109375
2010-04-01 00:00:00+00:00,144.3104248046875,1178.0999755859375
2010-04-05 00:00:00+00:00,140.85736083984375,1187.43994140625
2010-04-06 00:00:00+00:00,135.7632598876953,1189.43994140625
2010-04-07 00:00:00+00:00,136.0846405029297,1182.449951171875
2010-04-08 00:00:00+00:00,139.872802734375,1186.43994140625
2010-04-09 00:00:00+00:00,140.93258666992188,1194.3699951171875
2010-04-12 00:00:00+00:00,140.7205810546875,1196.47998046875
2010-04-13 00:00:00+00:00,141.47274780273438,1197.300048828125
2010-04-14 00:00:00+00:00,144.53611755371094,1210.6500244140625
2010-04-15 00:00:00+00:00,141.33602905273438,1211.6700439453125
2010-04-16 00:00:00+00:00,137.26754760742188,1192.1300048828125
2010-04-19 00:00:00+00:00,138.53941345214844,1197.52001953125
2010-04-20 00:00:00+00:00,138.92909240722656,1207.1700439453125
2010-04-21 00:00:00+00:00,137.5751953125,1205.93994140625
2010-04-22 00:00:00+00:00,142.0813446044922,1208.6700439453125
2010-04-23 00:00:00+00:00,144.2899169921875,1217.280029296875
2010-04-26 00:00:00+00:00,131.93414306640625,1212.050048828125
2010-04-27 00:00:00+00:00,126.84000396728516,1183.7099609375
2010-04-28 00:00:00+00:00,126.11522674560547,1191.3599853515625
2010-04-29 00:00:00+00:00,130.18365478515625,1206.780029296875
2010-04-30 00:00:00+00:00,125.81439971923828,1186.68994140625
2010-05-03 00:00:00+00:00,127.01775360107422,1202.260009765625
2010-05-04 00:00:00+00:00,121.4928970336914,1173.5999755859375
